#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 05 02 04 00 170  2.6  2.6    MM    MM    MM  MM 1022.2   9.6    MM   6.1   MM +0.3    MM
2017 05 02 03 00 170  4.1  4.1    MM    MM    MM  MM 1022.1   9.6    MM   6.2   MM +0.0    MM
2017 05 02 02 00 170  5.1  5.1    MM    MM    MM  MM 1021.9   9.3    MM   6.1   MM -0.4    MM
2017 05 02 01 00 170  6.2  6.7    MM    MM    MM  MM 1021.9   9.4    MM   5.6   MM -0.7    MM
2017 05 02 00 00 170  6.7  7.2    MM    MM    MM  MM 1021.9   9.7    MM   5.4   MM -1.4    MM
2017 05 01 23 00 180  6.2  7.2    MM    MM    MM  MM 1022.3   9.7    MM   4.6   MM -1.0    MM
2017 05 01 22 00 160  5.1  5.1    MM    MM    MM  MM 1022.6   9.7    MM   5.2   MM -1.2    MM
2017 05 01 21 00 170  5.1  5.7    MM    MM    MM  MM 1023.3   8.8    MM   5.0   MM -0.7    MM
2017 05 01 20 00 170  5.7  5.7    MM    MM    MM  MM 1023.3   8.5    MM   5.4   MM -0.8    MM
2017 05 01 19 00 160  6.2  6.7    MM    MM    MM  MM 1023.8   8.0    MM   6.1   MM -0.9    MM
2017 05 01 18 00 170  6.2  6.7    MM    MM    MM  MM 1024.0   8.0    MM   5.6   MM -1.0    MM
2017 05 01 17 00 180  6.2  6.7    MM    MM    MM  MM 1024.1   7.8    MM   5.8   MM -1.3    MM
2017 05 01 16 00 190  5.1  5.7    MM    MM    MM  MM 1024.7   8.0    MM   5.8   MM -1.0    MM
2017 05 01 15 00 180  5.1  5.7    MM    MM    MM  MM 1025.0   8.1    MM   5.3   MM -0.9    MM
2017 05 01 14 00 170  4.1  4.6    MM    MM    MM  MM 1025.4   8.0    MM   5.4   MM -1.1    MM
2017 05 01 13 00 160  3.6  3.6    MM    MM    MM  MM 1025.7   8.1    MM   5.8   MM -1.2    MM
2017 05 01 12 00 170  4.1  4.6    MM    MM    MM  MM 1025.9   8.3    MM   5.4   MM -1.3    MM
2017 05 01 11 00 150  4.1  4.6    MM    MM    MM  MM 1026.5   8.5    MM   6.2   MM -1.2    MM
2017 05 01 10 00 150  4.6  4.6    MM    MM    MM  MM 1026.9   8.8    MM   5.9   MM -0.7    MM
2017 05 01 09 00 140  3.6  4.1    MM    MM    MM  MM 1027.2   9.3    MM   6.3   MM -0.4    MM
2017 05 01 08 00 140  1.5  2.1    MM    MM    MM  MM 1027.7   9.4    MM   5.8   MM +0.6    MM
2017 05 01 07 00 100  1.5  2.1    MM    MM    MM  MM 1027.6   9.7    MM   7.0   MM +0.7    MM
2017 05 01 06 00 130  1.5  3.1    MM    MM    MM  MM 1027.6   9.9    MM   7.0   MM +1.1    MM
2017 05 01 05 00  60  2.6  3.1    MM    MM    MM  MM 1027.1   9.7    MM   6.4   MM +0.7    MM
2017 05 01 04 00  60  3.6  4.1    MM    MM    MM  MM 1026.9  10.3    MM   6.1   MM +0.5    MM
2017 05 01 03 00  20  5.7  6.2    MM    MM    MM  MM 1026.5  10.3    MM   6.3   MM +0.0    MM
2017 05 01 02 00  20  5.7  6.7    MM    MM    MM  MM 1026.4  10.4    MM   6.4   MM +0.0    MM
2017 05 01 01 00  60  3.6  4.6    MM    MM    MM  MM 1026.4  11.8    MM   5.4   MM +0.0    MM
2017 05 01 00 00  20  6.2  6.7    MM    MM    MM  MM 1026.4  10.7    MM   5.6   MM +0.0    MM
2017 04 30 23 00  10  3.6  4.1    MM    MM    MM  MM 1026.3  10.5    MM   6.8   MM +0.3    MM
2017 04 30 22 00  20  2.6  3.1    MM    MM    MM  MM 1026.4  10.8    MM   5.8   MM +0.4    MM
2017 04 30 21 00 360  1.5  2.1    MM    MM    MM  MM 1026.4  10.8    MM   4.5   MM +1.1    MM
2017 04 30 20 00  10  1.0  1.5    MM    MM    MM  MM 1026.0  11.7    MM   4.9   MM +1.4    MM
2017 04 30 19 00 210  2.1  2.6    MM    MM    MM  MM 1026.0   9.9    MM   6.1   MM +2.1    MM
2017 04 30 18 00 160  1.0  3.1    MM    MM    MM  MM 1025.3  10.8    MM   6.7   MM +2.2    MM
2017 04 30 17 00  90  1.5  2.1    MM    MM    MM  MM 1024.6   9.2    MM   6.8   MM +2.3    MM
2017 04 30 16 00 130  1.5  2.1    MM    MM    MM  MM 1023.9   8.4    MM   7.3   MM +2.2    MM
2017 04 30 15 00 180  2.1  2.1    MM    MM    MM  MM 1023.1   8.3    MM   6.7   MM +1.8    MM
2017 04 30 14 00 180  5.7  5.7    MM    MM    MM  MM 1022.3   8.9    MM   6.5   MM +1.2    MM
2017 04 30 13 00 190  5.1  5.1    MM    MM    MM  MM 1021.7   8.9    MM   6.9   MM +1.3    MM
2017 04 30 12 00 210  1.5  2.1    MM    MM    MM  MM 1021.3   9.2    MM   7.8   MM +1.4    MM
2017 04 30 11 00 350  1.5  1.5    MM    MM    MM  MM 1021.1   9.3    MM   7.6   MM +2.3    MM
2017 04 30 10 00 210  3.6  4.1    MM    MM    MM  MM 1020.4   9.7    MM   7.7   MM +1.6    MM
2017 04 30 09 00 270  3.1  4.1    MM    MM    MM  MM 1019.9   9.8    MM   8.7   MM +0.6    MM
2017 04 30 08 00 180  9.3 10.8    MM    MM    MM  MM 1018.8   9.1    MM   8.8   MM -0.3    MM
2017 04 30 07 00 180  9.3 10.3    MM    MM    MM  MM 1018.8   8.6    MM   8.4   MM -0.5    MM
2017 04 30 06 00 190  9.3 10.3    MM    MM    MM  MM 1019.3   8.6    MM   7.7   MM -0.4    MM
2017 04 30 05 00 190  9.3 10.3    MM    MM    MM  MM 1019.1   8.7    MM   7.6   MM -1.0    MM
2017 04 30 04 00 190  9.3 10.3    MM    MM    MM  MM 1019.3   8.8    MM   7.4   MM -0.8    MM
2017 04 30 03 00 200  8.8  9.8    MM    MM    MM  MM 1019.7   8.8    MM   6.7   MM -0.6    MM
2017 04 30 02 00 220  8.8 10.3    MM    MM    MM  MM 1020.1   9.5    MM   5.6   MM -0.7    MM
2017 04 30 01 00 220  5.7  8.2    MM    MM    MM  MM 1020.1  12.0    MM   4.9   MM -1.9    MM
2017 04 30 00 00 170  8.2  8.8    MM    MM    MM  MM 1020.3  12.8    MM   5.4   MM -1.8    MM
2017 04 29 23 00 150  8.2  8.8    MM    MM    MM  MM 1020.8  12.2    MM   5.6   MM -1.9    MM
2017 04 29 22 00 160  4.6  5.1    MM    MM    MM  MM 1022.0  10.4    MM   6.6   MM -1.9    MM
2017 04 29 21 00 190  6.2  6.7    MM    MM    MM  MM 1022.1  10.2    MM   6.0   MM -2.4    MM
2017 04 29 20 00 160  5.7  6.2    MM    MM    MM  MM 1022.7  10.1    MM   5.6   MM -2.6    MM
2017 04 29 19 00 170  5.1  5.1    MM    MM    MM  MM 1023.9   8.9    MM   6.0   MM -2.2    MM
2017 04 29 18 00 190  7.2  7.7    MM    MM    MM  MM 1024.5   8.8    MM   5.1   MM -1.1    MM
2017 04 29 17 00 180  3.6  4.1    MM    MM    MM  MM 1025.3   8.7    MM   6.0   MM +0.0    MM
2017 04 29 16 00 180  4.6  4.6    MM    MM    MM  MM 1026.1   7.8    MM   5.7   MM +0.4    MM
2017 04 29 15 00 180  5.7  6.2    MM    MM    MM  MM 1025.6   7.7    MM   5.8   MM -0.4    MM
2017 04 29 14 00 180  4.6  4.6    MM    MM    MM  MM 1025.4   7.6    MM   6.3   MM -0.9    MM
2017 04 29 13 00 150  2.1  2.6    MM    MM    MM  MM 1025.7   7.9    MM   5.1   MM -1.0    MM
2017 04 29 12 00 130  1.0  1.5    MM    MM    MM  MM 1026.0   8.3    MM   5.0   MM -1.0    MM
2017 04 29 11 00 110  1.0  1.5    MM    MM    MM  MM 1026.3   8.4    MM   5.4   MM -0.3    MM
2017 04 29 10 00  80  3.1  4.1    MM    MM    MM  MM 1026.7   8.7    MM   5.8   MM +0.0    MM
2017 04 29 09 00  30  2.1  2.6    MM    MM    MM  MM 1027.0   8.8    MM   5.9   MM +0.3    MM
2017 04 29 08 00  40  2.1  2.1    MM    MM    MM  MM 1026.6   9.0    MM   5.8   MM +0.0    MM
2017 04 29 07 00  10  5.1  5.7    MM    MM    MM  MM 1026.8   9.8    MM   7.0   MM +0.0    MM
2017 04 29 06 00 360  6.2  6.7    MM    MM    MM  MM 1026.7   9.8    MM   6.9   MM +0.0    MM
2017 04 29 05 00  10  4.6  5.1    MM    MM    MM  MM 1026.7  10.2    MM   7.0   MM +0.0    MM
2017 04 29 04 00  20  4.1  4.1    MM    MM    MM  MM 1026.7  11.4    MM   4.6   MM -0.3    MM
2017 04 29 03 00  30  3.1  3.6    MM    MM    MM  MM 1026.7  11.3    MM   5.6   MM -0.4    MM
2017 04 29 02 00  40  2.1  2.6    MM    MM    MM  MM 1026.8  11.2    MM   7.6   MM -0.5    MM
2017 04 29 01 00  40  2.1  2.6    MM    MM    MM  MM 1027.0  11.6    MM   5.9   MM -0.8    MM
2017 04 29 00 00  10  1.5  1.5    MM    MM    MM  MM 1027.1  12.0    MM   2.1   MM -0.9    MM
2017 04 28 23 00 230  1.0  1.5    MM    MM    MM  MM 1027.3  11.5    MM   5.0   MM -0.9    MM
2017 04 28 22 00 220  1.0  1.0    MM    MM    MM  MM 1027.8  11.9    MM   3.1   MM -0.4    MM
2017 04 28 21 00 200  1.5  2.1    MM    MM    MM  MM 1028.0  11.5    MM   5.3   MM -0.3    MM
2017 04 28 20 00 190  2.6  3.1    MM    MM    MM  MM 1028.2  10.6    MM   5.9   MM +0.5    MM
2017 04 28 19 00 180  3.6  3.6    MM    MM    MM  MM 1028.2   9.5    MM   6.9   MM +0.6    MM
2017 04 28 18 00 170  3.6  4.1    MM    MM    MM  MM 1028.3   8.5    MM   5.4   MM +1.1    MM
2017 04 28 17 00 190  5.1  5.1    MM    MM    MM  MM 1027.7   7.8    MM   5.3   MM +1.1    MM
2017 04 28 16 00 200  4.6  4.6    MM    MM    MM  MM 1027.6   7.6    MM   4.8   MM +1.8    MM
2017 04 28 15 00 200  4.1  4.1    MM    MM    MM  MM 1027.2   7.7    MM   5.4   MM +1.8    MM
2017 04 28 14 00 170  2.6  2.6    MM    MM    MM  MM 1026.6   7.4    MM   5.1   MM +1.9    MM
2017 04 28 13 00 190  3.6  3.6    MM    MM    MM  MM 1025.8   7.4    MM   5.0   MM +1.6    MM
2017 04 28 12 00 190  4.1  4.6    MM    MM    MM  MM 1025.4   7.6    MM   5.4   MM +1.6    MM
2017 04 28 11 00 190  4.1  4.6    MM    MM    MM  MM 1024.7   7.8    MM   5.5   MM +1.3    MM
